"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"39035","Cuyahoga County, Ohio",2015,1,0.342261904761905,4.68528373116903,157.109579703601
"39035","Cuyahoga County, Ohio",2016,1,0.342261904761905,4.68261924812282,158.093197283908
"39035","Cuyahoga County, Ohio",2017,1,0.342261904761905,4.66366317059633,159.632863562092
"39035","Cuyahoga County, Ohio",2018,1,0.342261904761905,4.66054620941439,160.262958054462
"39035","Cuyahoga County, Ohio",2019,1,0.342261904761905,4.65704038294251,163.187843981624
"39035","Cuyahoga County, Ohio",2020,1,0.342261904761905,4.6565705263441,162.975910634115
"39035","Cuyahoga County, Ohio",2021,1,0.342261904761905,4.64999015992219,164.057032436401
"39035","Cuyahoga County, Ohio",2022,1,0.342261904761905,4.64693360725034,166.433755827889
"39041","Delaware County, Ohio",2012,1,0.129260450160772,4.5449778726907,187.623812017956
"39041","Delaware County, Ohio",2013,1,0.129260450160772,4.53987505785534,189.59827956027
"39041","Delaware County, Ohio",2014,1,0.129260450160772,4.53408909076684,190.58772451945
"39041","Delaware County, Ohio",2015,1,0.129260450160772,4.53032293692755,191.221037661237
"39041","Delaware County, Ohio",2016,1,0.129260450160772,4.52490270728271,189.527677149045
"39041","Delaware County, Ohio",2017,1,0.129260450160772,4.44122073206898,199.185041762746
"39041","Delaware County, Ohio",2018,1,0.129260450160772,4.43751751229369,203.101475171618
"39041","Delaware County, Ohio",2019,1,0.129260450160772,4.41457983247422,209.504220931127
"39041","Delaware County, Ohio",2020,1,0.129260450160772,4.41144518318003,208.404666826179
"39041","Delaware County, Ohio",2021,1,0.129260450160772,4.42516074719599,206.599286563615
"39041","Delaware County, Ohio",2022,1,0.129260450160772,4.39489052959684,210.894357264352
"39049","Franklin County, Ohio",2012,1,0.129929431299294,4.63065849799123,170.141121335222
"39049","Franklin County, Ohio",2013,1,0.129929431299294,4.62260885018673,171.56553707445
"39049","Franklin County, Ohio",2014,1,0.129929431299294,4.62574030527807,170.022101010415
"39049","Franklin County, Ohio",2015,1,0.129929431299294,4.62128001650854,171.167317958824
"39049","Franklin County, Ohio",2016,1,0.129929431299294,4.61645701823116,172.022297263963
"39049","Franklin County, Ohio",2017,1,0.129929431299294,4.59566442007578,173.695845196362
"39049","Franklin County, Ohio",2018,1,0.129929431299294,4.57964116498019,175.732554657164
"39049","Franklin County, Ohio",2019,1,0.129929431299294,4.58146186041296,176.29087586804
"39049","Franklin County, Ohio",2020,1,0.129929431299294,4.57995258833236,174.900947411032
"39049","Franklin County, Ohio",2021,1,0.129929431299294,4.57343063112262,175.901205623656
"39049","Franklin County, Ohio",2022,1,0.129929431299294,4.56570426943707,177.848000233434
"39055","Geauga County, Ohio",2012,1,0.256880733944954,4.5315260576118,179.283291825685
"39055","Geauga County, Ohio",2013,1,0.256880733944954,4.5405274337526,175.335588069628
"39055","Geauga County, Ohio",2014,1,0.256880733944954,4.52931742171521,178.201582110626
"39055","Geauga County, Ohio",2015,1,0.256880733944954,4.52210310629065,179.483147036672
"39055","Geauga County, Ohio",2016,1,0.256880733944954,4.52387666422551,179.685335206806
"39055","Geauga County, Ohio",2017,1,0.256880733944954,4.40565943913303,185.446482563999
"39055","Geauga County, Ohio",2018,1,0.256880733944954,4.41380176290991,185.808777992759
"39055","Geauga County, Ohio",2019,1,0.256880733944954,4.39075306509399,192.370498119681
"39055","Geauga County, Ohio",2020,1,0.256880733944954,4.3696952733505,197.43866281089
"39055","Geauga County, Ohio",2021,1,0.256880733944954,4.37094472576051,198.920950385612
"39055","Geauga County, Ohio",2022,1,0.256880733944954,4.39713169682618,193.643993454646
"39057","Greene County, Ohio",2012,1,0.117021276595745,4.47502115697013,208.41530668965
"39057","Greene County, Ohio",2013,1,0.117021276595745,4.44772069523748,212.634521655216
"39057","Greene County, Ohio",2014,1,0.117021276595745,4.43039609612642,218.326623194286
"39057","Greene County, Ohio",2015,1,0.117021276595745,4.43106665256122,215.425701911937
"39057","Greene County, Ohio",2016,1,0.117021276595745,4.42284562376576,223.690207806596
"39057","Greene County, Ohio",2017,1,0.117021276595745,4.30192106034141,237.074040510757
"39057","Greene County, Ohio",2018,1,0.117021276595745,4.32478554717283,230.358652336674
"39057","Greene County, Ohio",2019,1,0.117021276595745,4.29168555814956,235.888632110934
"39057","Greene County, Ohio",2020,1,0.117021276595745,4.2885014329241,231.734127090226
"39057","Greene County, Ohio",2021,1,0.117021276595745,4.27002120566316,239.995812401902
"39057","Greene County, Ohio",2022,1,0.117021276595745,4.3067982286201,237.204027956799
"39061","Hamilton County, Ohio",2012,1,0.194087403598972,4.70301889283257,150.949602635
"39061","Hamilton County, Ohio",2013,1,0.194087403598972,4.69739008426033,152.950356718193
"39061","Hamilton County, Ohio",2014,1,0.194087403598972,4.68487464914042,157.304231158015
"39061","Hamilton County, Ohio",2015,1,0.194087403598972,4.68501428041401,157.41331999829
"39061","Hamilton County, Ohio",2016,1,0.194087403598972,4.68917583781272,158.229556124824
"39061","Hamilton County, Ohio",2017,1,0.194087403598972,4.6642987441653,160.684792188684
"39061","Hamilton County, Ohio",2018,1,0.194087403598972,4.66664473477938,161.336951316757
"39061","Hamilton County, Ohio",2019,1,0.194087403598972,4.66889463003137,160.451184515851
"39061","Hamilton County, Ohio",2020,1,0.194087403598972,4.66545139658416,159.947045459219
"39061","Hamilton County, Ohio",2021,1,0.194087403598972,4.65623105248237,161.544285869099
"39061","Hamilton County, Ohio",2022,1,0.194087403598972,4.64961762733962,164.410829641967
"39085","Lake County, Ohio",2012,1,0.254901960784314,4.61140726748867,170.309636244146
"39085","Lake County, Ohio",2013,1,0.254901960784314,4.61874143991355,166.437803535102
"39085","Lake County, Ohio",2014,1,0.254901960784314,4.60073188778485,170.102271502972
"39085","Lake County, Ohio",2015,1,0.254901960784314,4.58866982796123,176.396973398181
"39085","Lake County, Ohio",2016,1,0.254901960784314,4.59198892896789,177.327264974178
"39085","Lake County, Ohio",2017,1,0.254901960784314,4.5313385848386,187.252067887795
"39085","Lake County, Ohio",2018,1,0.254901960784314,4.51491956350158,189.903365935136
"39085","Lake County, Ohio",2019,1,0.254901960784314,4.54848647632908,181.3679293096
"39085","Lake County, Ohio",2020,1,0.254901960784314,4.54681819483573,181.277944834369
"39085","Lake County, Ohio",2021,1,0.254901960784314,4.54487482034456,184.354863988811
"39085","Lake County, Ohio",2022,1,0.254901960784314,4.52941456199731,189.795069196553
"39089","Licking County, Ohio",2012,1,0.479166666666667,4.60645855136598,182.136433192837
"39089","Licking County, Ohio",2013,1,0.479166666666667,4.59056021098956,189.286016395783
"39089","Licking County, Ohio",2014,1,0.479166666666667,4.60227207798244,185.553676310475
"39089","Licking County, Ohio",2015,1,0.479166666666667,4.61109257345381,183.304980951926
"39089","Licking County, Ohio",2016,1,0.479166666666667,4.61241566720737,185.217902466322
"39089","Licking County, Ohio",2017,1,0.479166666666667,4.50021193785628,194.1019991608
"39089","Licking County, Ohio",2018,1,0.479166666666667,4.48735421429373,197.171999017937
"39089","Licking County, Ohio",2019,1,0.479166666666667,4.47937407470409,196.304327976625
"39089","Licking County, Ohio",2020,1,0.479166666666667,4.45778467390616,198.714335880477
"39089","Licking County, Ohio",2021,1,0.479166666666667,4.44021099936973,206.357061921662
"39089","Licking County, Ohio",2022,1,0.479166666666667,4.42294654174402,211.578671990874
"39095","Lucas County, Ohio",2012,1,0.390243902439024,4.6242486245564,181.363571946786
"39095","Lucas County, Ohio",2013,1,0.390243902439024,4.6249380709158,181.807012939389
"39095","Lucas County, Ohio",2014,1,0.390243902439024,4.62135448600479,182.167431803036
"39095","Lucas County, Ohio",2015,1,0.390243902439024,4.61673337084637,184.186516177048
"39095","Lucas County, Ohio",2016,1,0.390243902439024,4.61772897152159,184.573999027924
"39095","Lucas County, Ohio",2017,1,0.390243902439024,4.57570368131998,190.527946083093
"39095","Lucas County, Ohio",2018,1,0.390243902439024,4.57785186259675,185.45392405611
"39095","Lucas County, Ohio",2019,1,0.390243902439024,4.57013716613114,188.756156781131
"39095","Lucas County, Ohio",2020,1,0.390243902439024,4.563859268207,189.675454868797
